size_pan	size_core	avg_gene_freq	base_mu 	n_gen	pop_size	prop_gene	gene_gl acc_site_diff
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	0.5 0.95
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	0.5 0.99
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	0.5 0.999
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.25
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.5
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.75
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.95
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.99
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	1.0 0.999
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.25
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.5
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.75
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.95
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.99
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	10.0 0.999
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.25
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.5
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.75
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.95
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.99
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	100.0 0.999
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.25
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.5
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.75
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.95
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.99
4622	1335000	0.465	0.3,0.2,0.2,0.3	100	100	0.99	500.0 0.999
